name,category
Transportation-Taxis & Coach,Uber
Fees & Adjustments-Fees & Adjustments,Fees
Restaurant-Bar & Café,Bar
Transportation-Fuel,Gas
Travel-Airline,Travel
Merchandise & Supplies-Wholesale Stores,Shopping
Restaurant-Restaurant,Restaurant
Merchandise & Supplies-Internet Purchase,Utility
Merchandise & Supplies-Groceries,Grocery
Other-Miscellaneous,Other
Travel-Lodging,Travel
Merchandise & Supplies-Clothing Stores,Shopping/Entertainment
Business Services-Office Supplies,Shopping/Entertainment
Merchandise & Supplies-Furnishing,Shopping/Entertainment
Merchandise & Supplies-General Retail,Shopping/Entertainment
Merchandise & Supplies-Computer Supplies,Shopping/Entertainment
Merchandise & Supplies-Book Stores,Shopping/Entertainment
Entertainment-General Attractions,Shopping/Entertainment
Travel-Vehicle Rental,Travel
Transportation-Parking Charges,Travel
Entertainment-Associations,Shopping/Entertainment
Other-Government Services,Other
Venmo,Venmo
American Express ACH,CC Payment
Prosper,Student Loan Payment
Draftkings,Gambling
Payment To Chase Card Ending IN 3112,CC Payment
Applecard,CC Payment
Betrivers,Gambling
Deloitte,Income
Amazon,Utility
Spotify,Utility
Erie Insurance,Utility
